,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1979.0,19.0,21.0,0.0,69.0
1,1970.0,6.0,30.0,1.0,75.0
2,1967.0,2.0,33.0,2.0,77.0
3,1966.0,0.0,34.0,3.0,77.0
4,1966.0,0.0,34.0,4.0,77.0
5,1966.0,0.0,34.0,5.0,77.0
6,1966.0,0.0,34.0,6.0,77.0
7,1966.0,0.0,34.0,7.0,77.0
8,1966.0,0.0,34.0,8.0,77.0
9,1966.0,0.0,34.0,9.0,77.0
10,1966.0,0.0,34.0,10.0,77.0
11,1966.0,0.0,34.0,11.0,77.0
12,1966.0,0.0,34.0,12.0,77.0
13,1966.0,0.0,34.0,13.0,77.0
14,1966.0,0.0,34.0,14.0,77.0
15,1966.0,0.0,34.0,15.0,77.0
16,1966.0,0.0,34.0,16.0,77.0
17,1966.0,0.0,34.0,17.0,77.0
18,1966.0,0.0,34.0,18.0,77.0
19,1966.0,0.0,34.0,19.0,77.0
20,1966.0,0.0,34.0,20.0,77.0
